Term,Definition
delta-13C of POC,Isotope 13C of particulate organic carbon (POC)
delta-14C of DIC,Isotope 14C of dissolved inorganic carbon (DIC)
delta-14C of DOC,Isotope 14C of dissolved organic carbon (DOC)
delta-14C of POC,Isotope 14C of particulate organic carbon (POC)
delta-15N of PN,Isotope 15N of particulate nitrogen (PN)
delta-18O of H2O,Isotope 18O of water
delta-D of CH4,hydrogen isotopes of methane
delta-D of H2O,hydrogen isotopes of water
Density,Density
Deuterium,"Deuterium (2H), Delta D"
Diadinoxanthin,The phytoplankton pigment Diadinoxanthin
Diallate (cis or trans),Diallate (cis or trans) (C10H17Cl2NOS)
Diatoxanthin,The phytoplankton pigment Diatoxanthin
"Dibenz(a,h)anthracene","Dibenz(a,h)anthracene (C22H14), a polycyclic aromatic hydrocarbon (PAH)"
Dibenzofuran,Dibenzofuran (C12H8O)
Dibenzothiophene,"Dibenzothiophene (C12H8S), a polycyclic aromatic hydrocarbon (PAH)"
Dibromochloromethane,Dibromochloromethane (CHBr2Cl)
Dieldrin,Dieldrin (C12H8Cl6O)
Diethyl phthalate,Diethyl phthalate (C12H14O4)
Diethylene glycol,Diethylene glycol (C4H10O3)
Diisopropyl Ether,Diisopropyl Ether (C6H14O)
Dimethyl Phthalate,Dimethyl Phthalate (C10H10O4)
Dimethylphenanthrene,Dimethylphenanthrene (C16H14)
Di-n-butylphthalate,Di-n-butylphthalate (C16H22O4)
Di-n-octyl phthalate,Di-n-octyl phthalate (C24H38O4)
Dinoflagellates,The chlorophyll a concentration contributed by Dinoflagellates
Dinoseb,Dinoseb (C10H12N2O5)
Discharge,Discharge
Distance,Distance measured from a sensor to a target object such as the surface of a water body or snow surface.
Distichlis spicata Coverage,Areal coverage of the plant Distichlis spicata
Disulfoton,Disulfoton (C8H19O2PS3)
d-Limonene,d-Limonene (C10H16)
"DNA damage, olive tail moment","In a single cell gel electrophoresis assay (comet assay), olive tail moment is the product of the percentage of DNA in the tail and the distance between the intesity centroids of the head and tail along the x-axis (Olive, et al., 1990)"
"DNA damage, percent tail DNA","In a single cell gel electrophoresis assay (comet assay), percent tail DNA is the ratio of fluorescent intensity of the tail over the total fluorescent intensity of the head (nuclear core) and tail multiplied by 100."
"DNA damage, tail length","In a single cell gel electrophoresis assay (comet assay), tail length is the distance of DNA migration from the body of the nuclear core"
E-coli,Escherichia coli
Electric Current,A flow of electric charge
Electric Energy,Electric Energy
Electric Power,Electric Power
Electrical conductivity,Electrical conductivity
End of file,A categorical variable marking the end of a data file. This is used for quality control.
Endosulfan I (alpha),Endosulfan I (alpha) (C9H6Cl6O3S)
Endosulfan II (beta),Endosulfan II (beta) (C9H6Cl6O3S)
Endosulfan Sulfate,Endosulfan Sulfate (C9H6Cl6O4S)
Endrin,Endrin (C12H8Cl6O)
Endrin aldehyde,Endrin aldehyde (C12H8Cl6O)
Endrin Ketone,Endrin Ketone (C12H9Cl5O)
Enterococci,Enterococcal bacteria
Ethane,Ethane
"Ethane, dissolved",Dissolved Ethane (C2H6)
Ethanol,Ethanol (C2H6O)
"Ethoxyresorufin O-deethylase, activity",Ethoxyresorufin O-deethylase (EROD) activity
Ethyl tert-Butyl Ether,Ethyl tert-Butyl Ether (C6H14O)
Ethylbenzene,Ethylbenzene (C8H10)
Ethylene,Ethylene (C2H4)
Ethylene glycol,Ethlene Glycol (C2H4(OH)2)
"Ethylene, dissolved",Dissolved ethylene
Ethyne,Ethyne (C2H2)
Evaporation,Evaporation
Evapotranspiration,Evapotranspiration
"Evapotranspiration, potential",The amount of water that could be evaporated and transpired if there was sufficient water available.
Fish detections,The number of fish identified by the detection equipment
Flash memory error count,A counter which counts the number of  datalogger flash memory errors
Fluoranthene,"Fluoranthene (C16H10), a polycyclic aromatic hydrocarbon (PAH)"
Fluorene,"Fluorene (C13H10), a polycyclic aromatic hydrocarbon (PAH)"
Fluoride,Fluoride (F-)
"Fluoride, dissolved",Dissolved Fluoride (F-)
Fluorine,Fluorine (F2)
"Fluorine, dissolved",Dissolved Fluorine (F2)
Formate,Formate
Formic acid,Formic acid (CH2O2)
Frequency of Rotation,Number of rotations within a time period
Friction velocity,Friction velocity
Fucoxanthin,"A xanthophyll, with formula C42H58O6"
Gage height,Water level with regard to an arbitrary gage datum (also see Water depth for comparison)
Global Radiation,"Solar radiation, direct and diffuse, received from a solid angle of 2p steradians on a horizontal surface. Source: World Meteorological Organization, Meteoterm"
Glutaraldehyde,Glutaraldehyde (C5H8O2)
"Glutathione S-transferase, activity",Glutathione S-transferase (GST) activity
"Glutathione S-transferase, delta cycle threshold","Delta cycle threshold for glutathione S-transferase (gst). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for gst is the difference between the cycle threshold (Ct) of gst gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
"Gravel, total",Total gravel
Gross alpha radionuclides,Gross Alpha Radionuclides
Gross beta radionuclides,Gross Beta Radionuclides
Ground heat flux,Ground heat flux
Groundwater Depth,Groundwater depth is the distance between the water surface and the ground surface at a specific location specified by the site location and offset.
"Hardness, Calcium",Hardness of calcium
"Hardness, carbonate",Carbonate hardness also known as temporary hardness
"Hardness, Magnesium",Hardness of magnesium
"Hardness, non-carbonate",Non-carbonate hardness
"Hardness, total",Total hardness
Heat index,The combination effect of heat and humidity on the temperature felt by people.
"height, above sea floor",Vertical distance from the sea floor to a point.
Helium,Helium
"Helium, dissolved",Dissolved Helium (He)
Heptachlor,Heptachlor (C10H5Cl7)
Heptachlor epoxide,Heptachlor epoxide (C10H5Cl7O)
Hexachlorobenzene,Hexachlorobenzene (C6Cl6)
Hexachlorobutadiene,Hexachlorobutadiene (C4Cl6)
Hexachlorocyclopentadiene,Hexachlorocyclopentadiene (C5Cl6)
Hexachloroethane,Hexachloroethane (C2Cl6)
Hexane,Hexane
Host connected,A categorical variable marking the attachment of a host computer to a logger. This is used for quality control.
Hydrogen,Hydrogen
Hydrogen sulfide,Hydrogen sulfide (H2S)
"Hydrogen, dissolved",Dissolved Hydrogen
"Hydrogen-2, stable isotope ratio delta",Difference in the 2H:1H ratio between the sample and standard
Imaginary dielectric constant,Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the dissipation (or loss) of energy within the medium. This is the imaginary portion of the complex dielectric constant.
"Indeno(1,2,3-cd)pyrene","Indeno(1,2,3-cd)pyrene (C22H12)"
Indicator,Binary status to indicate the status of an instrument or other piece of equipment.
Instrument status code,Code value recorded by instrument indicating some information regarding the status of the instrument
Intercept,The point at which one of the variables in a function equals 0.
"Iodide, dissolved",Dissolved Iodide (I-)
Iron sulfide,Iron sulfide (FeS2)
"Iron, dissolved",Dissolved Iron (Fe)
"Iron, ferric",Ferric Iron (Fe+3)
"Iron, ferrous",Ferrous Iron (Fe+2)
"Iron, particulate",Particulate iron (Fe) in suspension
"Iron, total",Total Iron (Fe)
Isobutane,Isobutane
Isobutyric acid,Isobutyric acid (C4H8O2)
Isopentane,Isopentane
Isophorone,Isophorone (C9H14O)
Isoprenoid RRT 1380,Isoprenoid RRT 1380
Isoprenoid RRT 1470,Isoprenoid RRT 1470
Isopropyl alcohol,Isopropyl alcohol (C3H8O)
Isopropylbenzene,Isopropylbenzene (C9H12)
Iva frutescens coverage,Areal coverage of the plant Iva frutescens
Lactic Acid,Lactic Acid (C3H6O3)
Latent heat flux,Latent Heat Flux
Latitude,Latitude as a variable measurement or observation (Spatial reference to be designated in methods).  This is distinct from the latitude of a site which is a site attribute.
"Lead, dissolved","Dissolved Lead (Pb). For chemical terms, dissolved indicates a filtered sample"
"Lead, distribution coefficient",Ratio of concentrations of lead in two phases in equilibrium with each other. Phases must be specified.
"Lead, particulate",Particulate lead (Pb) in suspension
"Lead, total","Total Lead (Pb). For chemical terms, total indicates an unfiltered sample."
Lead-210,A naturally-occurring radioisotope of lead with a half-life of 22.20 years.
Leaf wetness,The effect of moisture settling on the surface of a leaf as a result of either condensation or rainfall.
Light attenuation coefficient,Light attenuation coefficient
Limonium nashii Coverage,Areal coverage of the plant Limonium nashii
Lipid content,Lipid content
"Lithium, dissolved","Dissolved Lithium (Li). For chemical terms, dissolved indicates a filtered sample."
"Lithium, total","Total Lithium (Li). For chemical terms, total indicates an unfiltered sample."
"Liver, mass",Mass of the sample of liver tissue used for analyses
Logger stopped,A categorical variable indicating that a logger was told to stop recording data. This is used for quality control.
Longitude,Longitude as a variable measurement or observation (Spatial reference to be designated in methods). This is distinct from the longitude of a site which is a site attribute.
Low battery count,A counter of the number of times the battery voltage dropped below a minimum threshold
LSI,Langelier Saturation Index is an indicator of the degree of saturation of water with respect to calcium carbonate
Luminous Flux,A measure of the total amount of visible light present
Lycium carolinianum Coverage,Areal coverage of the plant Lycium carolinianum
"Magnesium, dissolved",Dissolved Magnesium (Mg)
"Magnesium, total",Total Magnesium (Mg)
Malathion,"Butanedioic acid, [(dimethoxyphosphinothioyl)thio]-, diethyl ester (C10H19O6PS2)"
"Manganese, dissolved",Dissolved Manganese (Mn)
"Manganese, particulate",Particulate manganese (Mn) in suspension
"Manganese, total","Total manganese (Mn). ""Total"" indicates was measured on a whole water (unfiltered) sample."
"Mercury, dissolved","Dissolved Mercury (Hg). For chemical terms, dissolved indicates a filtered sample."
"Mercury, total","Total Mercury (Hg). For chemical terms, total represents an unfiltered sample."
Methane,Methane (CH4)
"Methane, dissolved",Dissolved Methane (CH4)
Methanol,Methanol (CH3OH)
Methoxychlor,Methoxychlor (C16H15Cl3O2)
Methyl tert-butyl ether (MTBE),Methyl tert-butyl ether (MTBE) (C5H12O)
Methylchrysene,Methylchrysene (C19H14)
Methylene blue active substances,Methylene Blue Active Substances (MBAS)
Methylene chloride (Dichloromethane),Methylene chloride (Dichloromethane) (CH2Cl2)
Methylfluoranthene,Methylfluoranthene (C17H12)
Methylfluorene,Methylfluorene (C14H12)
Methylmercury,Methylmercury (CH3Hg)
Methylpyrene,Methylpyrene (C17H12)
Mevinphos,Mevinphos (C7H13O6P)
Microsomal protein,The total protein concentration within the microsomal fraction of cells. Microsomes refer to vesicle-like artifacts reformed from pieces of endoplasmic reticulum when eukaryotic cells are broken up in a laboratory.
"Molbydenum, dissolved","Dissolved Molbydenum (Mo). For chemical terms, dissolved indicates a filtered sample."
"Molybdenum, total","total Molybdenum (Mo). For chemical terms, total represents an unfiltered sample."
Momentum flux,Momentum flux
Monanthochloe littoralis Coverage,Areal coverage of the plant Monanthochloe littoralis
"N, albuminoid",Albuminoid Nitrogen
"n-alkane, C10","C10 alkane, normal (i.e. straight-chain) isomer, common name: n-Decane, formula : C10H22"
"n-alkane, C11","C11 alkane, normal (i.e. straight-chain) isomer, common name: n-Undecane, formula : CH3(CH2)9CH3"
"n-alkane, C12","C12 alkane, normal (i.e. straight-chain) isomer, common name: n-Dodecane, formula : C12H26"
"n-alkane, C13","C13 alkane, normal (i.e. straight-chain) isomer, common name: n-Tridecane, formula : C13H28"
"n-alkane, C14","C14 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetradecane, formula : C14H30"
"n-alkane, C15","C15 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentadecane, formula : C15H32"
"n-alkane, C16","C16 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexadecane, formula: C16H34. Synonym: cetane"
"n-alkane, C17","C17 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptadecane, formula : C17H36"
"n-alkane, C18","C18 alkane, normal (i.e. straight-chain) isomer, common name: n-Octadecane, formula : C18H38"
"n-alkane, C19","C19 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonadecane, formula : C19H40"
"n-alkane, C20","C20 alkane, normal (i.e. straight-chain) isomer, common name: n-Icosane, formula : C20H42. Synonyms: didecyl, eicosane."
"n-alkane, C21","C21 alkane, normal (i.e. straight-chain) isomer, common name: n-Henicosane, formula : C21H44."
"n-alkane, C22","C22 alkane, normal (i.e. straight-chain) isomer, common name: n-Docosane, formula : C22H46"
"n-alkane, C23","C23 alkane, normal (i.e. straight-chain) isomer, common name: n-Tricosane, formula : C23H48"
"n-alkane, C24","C24 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetracosane, formula : C24H50"
"n-alkane, C25","C25 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentacosane, formula : C25H52"
"n-alkane, C26","C26 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexacosane, formula : C26H54, synonyms: cerane, hexeikosane"
"n-alkane, C27","C27 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptacosane, formula : C27H56"
"n-alkane, C28","C28 alkane, normal (i.e. straight-chain) isomer, common name: n-Octacosane, formula : C28H58"
"n-alkane, C29","C29 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonacosane, formula : C29H60"
"n-alkane, C30","C30 alkane, normal (i.e. straight-chain) isomer, common name: n-Triacontane, formula : C30H62"
"n-alkane, C31","C31 alkane,normal (i.e. straight-chain) isomer, common name: n-Hentriacontane, formula : C31H64, Synonym: untriacontane"
"n-alkane, C32","C32 alkane, normal (i.e. straight-chain) isomer, common name: n-Dotriacontane, formula : C32H66, Synonym: dicetyl"
"n-alkane, C33","C33 alkane, (i.e. straight-chain) isomer, common name: n-Tritriacontane, formula : C33H68"
"n-alkane, C34","C34 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetratriacontane, formula : n-alkane, C34H70"
"n-alkane, C35","C35 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentatriacontane, formula : n-alkane, C35H72"
"n-alkane, C36","C36 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexatriacontane, formula : n-alkane, C36H74"
"n-alkane, C37","C37 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptatriacontane, formula : n-alkane, C37H76"
"n-alkane, C38","C38 alkane, normal (i.e. straight-chain) isomer, common name: n-Octatriacontane, formula : n-alkane, C38H78"
"n-alkane, C39","C39 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonatriacontane, formula : n-alkane, C39H80"
"n-alkane, C40","C40 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetracontane, formula : n-alkane, C40H82"
"n-alkane, C9","C9 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonane, formula : C9H20"
"n-alkane, long-chain","long-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
"n-alkane, short-chain","short-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
"n-alkane, total","Total alkane, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)"
Naphthalene,Naphthalene (C10H8)
NDVI,Normalized difference vegetation index
Net heat flux,Outgoing rate of heat energy transfer minus the incoming rate of heat energy transfer through a given area
"Nickel, dissolved",Dissolved Nickel (Ni)
"Nickel, distribution coefficient",Ratio of concentrations of nickel in two phases in equilibrium with each other. Phases must be specified.
"Nickel, particulate",Particulate nickel (Ni) in suspension
"Nickel, total","Total Nickel (Ni). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Nitrobenzene,Nitrobenzene (C6H5NO2)
"Nitrogen, dissolved (free+ionized) Ammonia (NH3) + (NH4)",Dissolved (free+ionized) Ammonia
"Nitrogen, dissolved inorganic",Dissolved inorganic nitrogen
"Nitrogen, dissolved Kjeldahl",Dissolved Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4))nitrogen
"Nitrogen, dissolved nitrate (NO3)",Dissolved nitrate (NO3) nitrogen
"Nitrogen, dissolved nitrite (NO2)",Dissolved nitrite (NO2) nitrogen
"Nitrogen, dissolved nitrite (NO2) + nitrate (NO3)",Dissolved nitrite (NO2) + nitrate (NO3) nitrogen
"Nitrogen, dissolved organic",Dissolved Organic Nitrogen
"Nitrogen, gas",Gaseous Nitrogen (N2)
"Nitrogen, inorganic",Total Inorganic Nitrogen
"Nitrogen, NH3",Free Ammonia (NH3)
"Nitrogen, NH3 + NH4",Total (free+ionized) Ammonia
"Nitrogen, NH4",Ammonium (NH4)
"Nitrogen, nitrate (NO3)",Nitrate (NO3) Nitrogen
"Nitrogen, nitrite (NO2)",Nitrite (NO2) Nitrogen
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrite (NO2) + Nitrate (NO3) Nitrogen
"Nitrogen, organic",Organic Nitrogen
"Nitrogen, organic kjeldahl",Organic Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4)) nitrogen
"Nitrogen, particulate",Particulate nitrogen (N) in suspension
"Nitrogen, particulate organic",Particulate Organic Nitrogen
"Nitrogen, total",Total Nitrogen (NO3+NO2+NH4+NH3+Organic)
"Nitrogen, total dissolved",Total dissolved nitrogen
"Nitrogen, total kjeldahl",Total Kjeldahl Nitrogen (Ammonia+Organic)
"Nitrogen, total nitrite",Total nitrite (NO2)
"Nitrogen, total organic",Total (dissolved + particulate) organic nitrogen
Nitrogen-15,"15 Nitrogen, Delta Nitrogen"
"Nitrogen-15, stable isotope ratio delta",Difference in the 15N:14N ratio between the sample and standard (del N 15)
Nitrous oxide,Nitrous oxide (N2O)
N-Nitrosodiethylamine,N-Nitrosodiethylamine (C4H10N2O)
N-Nitrosodimethylamine,N-Nitrosodimethylamine (C2H6N2O)
N-Nitrosodi-n-butylamine,N-Nitrosodi-n-butylamine (C8H18N2O)
N-Nitrosodi-n-propylamine,N-Nitrosodi-n-propylamine (C6H14N2O)
N-Nitrosodiphenylamine,N-Nitrosodiphenylamine (C12H10N2O)
N-Nitrosomethylethylamine,N-Nitrosomethylethylamine (C3H8N2O)
No vegetation coverage,Areal coverage of no vegetation
Norpristane (1650),Norpristane (1650)
Odor,Odor
Offset,Constant to be added as an offset to a variable of interest.
Oil and grease,Oil and grease
Organic matter,The organic matter component of a complex material.
Orientation,Azimuth orientation of sensor platform
Osmotic pressure,Osmotic pressure
Oxygen,Oxygen
Oxygen flux,Oxygen (O2) flux
Oxygen uptake,Consumption of oxygen by biological and/or chemical processes
"Oxygen, dissolved",Dissolved oxygen
"Oxygen, dissolved percent of saturation","Dissolved oxygen, percent saturation"
"Oxygen, dissolved, transducer signal","Dissolved oxygen, raw data from sensor"
Oxygen-18,"18 O, Delta O"
"Oxygen-18, stable isotope ratio delta",Difference in the 18O:16O ratio between the sample and standard
o-Xylene,o-Xylene (C8H10)
Ozone,Ozone (O3)
Parameter,Parameter related to a hydrologic process. An example usage would be for a starge-discharge relation parameter.
Parathion-ethyl,Parathion-ethyl (C10H14NO5PS)
Pentachlorobenzene,Pentachlorobenzene (C6HCl5)
Pentachlorophenol,Pentachlorophenol (C6HCl5O)
Pentane,Pentane
Percent full scale,The percent of full scale for an instrument
Peridinin,The phytoplankton pigment Peridinin
Permethrin,Permethrin (C21H20Cl2O3)
Permittivity,"Permittivity is a physical quantity that describes how an electric field affects, and is affected by a dielectric medium, and is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or ""permit"") an electric field."
Perylene,"Perylene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
"Petroleum hydrocarbon, total",Total petroleum hydrocarbon
pH,pH is the measure of the acidity or alkalinity of a solution. pH is formally a measure of the activity of dissolved hydrogen ions (H+). Solutions in which the concentration of H+ exceeds that of OH- have a pH value lower than 7.0 and are known as acids.
Phenanthrene,"Phenanthrene (C14H10), a polycyclic aromatic hydrocarbon (PAH)"
Phenol,Phenol (C6H5OH)
"Phenolics, total",Total Phenolics
Pheophorbide a,"Pheophorbide a is a degradation product of Chlorophyll, C35H36N4O5"
Pheophytin,Pheophytin (Chlorophyll which has lost the central Mg ion) is a degradation product of Chlorophyll
"Pheopigment, total","Total pheopigments, a non-photosynthetic degradation product of algal chlorophyll pigments"
Phorate,Phorate (C7H17O2PS3)
Phosphorodithioic acid,Phosphorodithioic acid (C10N12N3O3PS2)
"Phosphorus, dissolved",Dissolved Phosphorus (P)
"Phosphorus, dissolved organic",Dissolved organic phosphorus
"Phosphorus, inorganic ",Inorganic Phosphorus
"Phosphorus, organic",Organic Phosphorus
"Phosphorus, orthophosphate",Orthophosphate Phosphorus
"Phosphorus, orthophosphate dissolved",Dissolved orthophosphate phosphorus
"Phosphorus, orthophosphate total",Total orthophosphate phosphorus
"Phosphorus, particulate",Particulate phosphorus
"Phosphorus, particulate organic",Particulate organic phosphorus in suspension
"Phosphorus, phosphate (PO4)",Phosphate phosphorus
"Phosphorus, phosphate flux",Phosphate (PO4) flux
"Phosphorus, polyphosphate",Polyphosphate Phosphorus
"Phosphorus, total",Total Phosphorus
"Phosphorus, total dissolved",Total dissolved phosphorus
Phytane,"Phyane, a type of diterpenoid alkane, formula : C20H42. Synonyms: 2,6,10,14-Tetramethylhexadecane"
Phytoplankton,Measurement of phytoplankton with no differentiation between species
Piperonyl Butoxide,Piperonyl Butoxide (C19H30O5)
"Polycyclic aromatic hydrocarbon, alkyl","Polycyclic aromatic hydrocarbon (PAH) having at least one alkyl sidechain (methyl, ethyl or other alkyl group) attached to the aromatic ring structure"
"Polycyclic aromatic hydrocarbon, parent","Unsubstituted (i.e., non-alkylated) polycyclic aromatic hydrocarbon (PAH)"
"Polycyclic aromatic hydrocarbon, total","total polycyclic aromatic hydrocarbon (PAH), also known as poly-aromatic hydrocarbons or polynuclear aromatic hydrocarbons"
Position,Position of an element that interacts with water such as reservoir gates
"Potassium, dissolved",Dissolved Potassium (K)
"Potassium, total",Total Potassium (K)
Prasinoxanthin,"Prasinoxanthin, C40H56O4"
Precipitation,Precipitation such as rainfall. Should not be confused with settling.
"Pressure, absolute",Pressure
"Pressure, gauge",Pressure relative to the local atmospheric or ambient pressure
Primary productivity,Primary Productivity
"Primary productivity, gross","Rate at which an ecosystem accumulates energy by fixation of sunlight, including that consumed by the ecosystem."
Priority Pollutant PAH,"The original 16 PAH compounds that the United States Environmental Protection Agency (EPA) has designated as priority pollutants: naphthalene, acenaphthylene, acenaphthene, fluorene, phenanthrene, anthracene, fluoranthene, pyrene, benzo[a]anthracene, chrysene, benzo[b]fluoranthene, benzo[k]fluoranthene, benzo[a]pyrene, dibenz(ah)anthracene, benzo[ghi]perylene, and indeno[1,2,3-cd]pyrene."
Pristane,"Pristane, a natural or synthetic isoprenoid hydrocarbon (C19) derivative, formula : C19H40. Synonyms: 2,6,10,14-Tetramethylpentadecane"
Program signature,A unique data recorder program identifier which is useful for knowing when the source code in the data recorder has been modified.
Pronamide,Pronamide (C12H11Cl2NO)
Propane,Propane
"Propane, dissolved",Dissolved Propane (C3H8)
Propanoic acid,Propanoic acid (C3H6O2)
Propylene glycol,Propylene glycol (C3H8O2)
Pyrene,"Pyrene (C16H10), a polycyclic aromatic hydrocarbon (PAH)"
Pyridine,Pyridine (C5H5N)
Pyropheophorbide a,"Pyropheophorbide a, C33H34N4O3"
"Radiation, incoming",Incoming radiation
"Radiation, incoming longwave",Incoming Longwave Radiation
"Radiation, incoming PAR",Incoming Photosynthetically-Active Radiation
"Radiation, incoming shortwave",Incoming Shortwave Radiation
"Radiation, incoming UV-A",Incoming Ultraviolet A Radiation
"Radiation, incoming UV-B",Incoming Ultraviolet B Radiation
"Radiation, net",Net Radiation
"Radiation, net longwave",Net Longwave Radiation
"Radiation, net PAR",Net Photosynthetically-Active Radiation
"Radiation, net shortwave",Net Shortwave radiation
"Radiation, outgoing longwave",Outgoing Longwave Radiation
"Radiation, outgoing PAR",Outgoing Photosynthetically-Active Radiation
"Radiation, outgoing shortwave",Outgoing Shortwave Radiation
"Radiation, total incoming",Total amount of incoming radiation from all frequencies
"Radiation, total outgoing",Total amount of outgoing radiation from all frequencies
"Radiation, total shortwave",Total Shortwave Radiation
Radium-226,An isotope of radium in the uranium-238 decay series
Radium-228,An isotope of radium in the thorium-232 decay series
Radon-222,An isotope of radon
Rainfall rate,"A measure of the intensity of rainfall, calculated as the depth of water to fall over a given time period if the intensity were to remain constant over that time interval (in/hr, mm/hr, etc)"
Real dielectric constant,Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the stored energy within the medium. This is the real portion of the complex dielectric constant.
Recorder code,A code used to identifier a data recorder.
Reduction potential,Oxidation-reduction potential
Relative humidity,Relative humidity
Remark,Manually added comment field to provide additional information about a particular record.
Reservoir storage,Reservoir water volume
"Respiration, ecosystem",Gross carbon dioxide production by all organisms in an ecosystem. Ecosystem respiration is the sum of all respiration occurring by the living organisms in a specific ecosystem.
"Respiration, net",Net respiration
Retene,"Retene (C18H18), a polycyclic aromatic hydrocarbon (PAH), also known as methyl isopropyl phenanthrene or 1-methyl-7-isopropyl phenanthrene"
"Rhenium, total",Total Rhenium (Re)
Rubidium to Strontium molar ratio,Rubidium to Strontium (Rb:Sr) molar ratio
"Rubidium, dissolved",Dissolved Rubidium (Rb)
Ruthenium-106,The most stable isotope of ruthenium with a half life of 373.59 days.
Salicornia bigelovii coverage,Areal coverage of the plant Salicornia bigelovii
Salicornia virginica coverage,Areal coverage of the plant Salicornia virginica
Salinity,Salinity
"Sand, total",Total sand
Sap flow,movement of xylem sap in trees
"Saturated petroleum hydrocarbon, total","Total saturated petroleum hydrocarbon, i.e., total SHC"
Secchi depth,Secchi depth
"Sediment, passing sieve",The amount of sediment passing a sieve in a gradation test
"Sediment, retained on sieve",The amount of sediment retained on a sieve in a gradation test
"Sediment, suspended",Suspended Sediment
"Selenium, dissolved","Dissolved selenium (Se). For chemical terms, dissolved indicates a filtered sample."
"Selenium, distribution coefficient",Ratio of concentrations of selenium in two phases in equilibrium with each other. Phases must be specified.
"Selenium, particulate",Particulate selenium (Se) in suspension
"Selenium, total","Total Selenium (Se). For chemical terms, total indicates an unfiltered sample"
Sensible heat flux,Sensible Heat Flux
Sequence number,A counter of events in a sequence
Shannon diversity index,"A diversity index that is based on the number of taxa, and the proportion of individuals in each taxa relative to the entire community, evaluated as entropy. Also known as Shannon-Weaver diversity index, the Shannon-Wiener index, the Shannon index and the Shannon entropy."
Shannon evenness index,"A dimensionless diversity index, calculated as a ratio of the Shannon diversity index over its maximum. Also known as the Shannon Weaver evenness index"
Sigma-t,"Density of seawater calculated with in situ salinity and temperature, but pressure equal to zero, rather than the in situ pressure, and 1000 kg/m^3 is subtracted. Defined as (S,T)-1000 kg m-3, where (S,T) is the density of a sample of seawater at temperature T and salinity S, measured in kg m-3, at standard atmospheric pressure."
Signal-to-noise ratio,"Signal-to-noise ratio (often abbreviated SNR or S/N) is defined as the ratio of a signal power to the noise power corrupting the signal. The higher the ratio, the less obtrusive the background noise is."
Silica,Silica (SiO2)
"Silica, dissolved",Dissolved silica (SiO2)
Silicate,"Silicate. Chemical compound containing silicon, oxygen, and one or more metals, e.g., aluminum, barium, beryllium, calcium, iron, magnesium, manganese, potassium, sodium, or zirconium."
Silicic acid,Hydrated silica disolved in water
Silicic acid flux,Silicate acid (H4SiO4) flux
Silicon,Silicon (Si)
"Silicon, dissolved",Dissolved Silicon (Si)
"Silicon, particulate",Particulate silicon (Si) in suspension
"Silt, total",Total silt
"Silver, dissolved","Dissolved silver (Ag). For chemical terms, dissolved indicates a filtered sample."
"Silver, total","Total Silver (Ag). For chemical terms, total represents an unfiltered sample."
Slope,Ratio between two variables in a linear relationship.
Snow depth,Snow depth
Snow water equivalent,"The depth of water if a snow cover is completely melted, expressed in units of depth, on a corresponding horizontal surface area."
Sodium adsorption ratio,Sodium adsorption ratio
Sodium plus potassium,Sodium plus potassium
"Sodium, dissolved",Dissolved Sodium (Na)
"Sodium, fraction of cations","Sodium, fraction of cations"
"Sodium, total",Total Sodium (Na)
"Solids, fixed dissolved",Fixed Dissolved Solids
"Solids, fixed suspended",Fixed Suspended Solids
"Solids, total",Total Solids
"Solids, total dissolved",Total Dissolved Solids
"Solids, total fixed",Total Fixed Solids
"Solids, total suspended",Total Suspended Solids
"Solids, total volatile",Total Volatile Solids
